小韻次序	代表字	全部字	反切	編碼	切韻拼音	unt切韻擬音L	unt切韻擬音J	潘悟雲擬音
798	䶗	䶗㤉𡤫	苦加	enA	khae	qʰaˤ	qʰaˤ	kʰɣæ˧
799	㚗	㚗	才邪	PoA	dziae	dzja	dzja	dziæ˧
800	若	若婼	人賒	coA	njiae	ɲa	ɲa	ȵiæ˧
801	些	些	寫邪	QoA	siae	sja	sja	siæ˧
802	爹	爹	陟邪	EoA	tiae	tja	tja	tiæ˧
803	𣢉	𣢉𩨾	五瓜	gnI	ngwae	ɴwaˤ	ɴwaˤ	ŋʷɣæ˧
804	𣘟	𣘟	乞加	enA	khae	qʰaˤ	qʰaˤ	kʰɣæ˧
805	陽	陽暘楊揚颺昜羊样眻佯詳徉洋烊煬鍚𩋬輰敭瘍鴹鰑鸉蛘禓崵諹瑒𥂸𦭵𦍹	與章	lpA	jyang	jaɴ	jaɴ	jɨaŋ˧
806	詳	詳洋翔庠祥𨀘𦍙痒	似羊	RpA	zyang	zjaɴ	zjaɴ	zɨaŋ˧
807	良	良梁粱粮糧涼凉𩗬量蜋踉椋䝶綡𣄴㹁䣼輬	呂張	IpA	lyang	laɴ	laɴ	lɨaŋ˧
808	香	香皀薌鄉膷	許良	ipA	hyang	xaɴ	xj̈aɴ	hɨaŋ˧
809	商	商𧶜傷𥏻殤慯觴湯蔏𪄲螪㲽䵮禓饟䵼塲𤳈	式羊	apA	sjyang	ɕaɴ	ɕaɴ	ɕɨaŋ˧
810	房	房防坊魴方肪鴋	符方	CpA	buang	baɴ	bʋaɴ	bɨaŋ˧
811	章	章漳樟慞璋彰墇障麞獐鄣蔁𪅂𩌬暲	諸良	XpA	tjyang	tɕaɴ	tɕaɴ	tɕɨaŋ˧
812	昌	昌裮倡猖閶琩鯧菖	尺良	YpA	tjhyang	tɕʰaɴ	tɕʰaɴ	tɕʰɨaŋ˧
813	羌	羌猐𡸓蜣	去羊	epA	khyang	kʰaɴ	kʰj̈aɴ	kʰɨaŋ˧
814	薑	薑𧅁畺疆壃畕㹔繮韁殭礓橿姜䗵僵	居良	dpA	kyang	kaɴ	kj̈aɴ	kɨaŋ˧
815	長	長萇腸場䠆㙊䗅瓺	直良	LpA	dryang	ɖaɴ	ɖaɴ	ɖɨaŋ˧
816	張	張餦粻漲	陟良	JpA	tryang	ʈaɴ	ʈaɴ	ʈɨaŋ˧
817	穰	穰禳攘𣀮鑲𨟚躟瀼𩆶獽儴蘘䉴鬤勷瓤孃	汝陽	cpA	njyang	ɲaɴ	ɲaɴ	ȵɨaŋ˧
818	方	方汸坊蚄肪邡鴋枋鈁牥趽䄱匚	府良	ApA	puang	paɴ	pʋaɴ	pɨaŋ˧
819	襄	襄廂湘相緗纕忀驤鑲瓖欀箱葙	息良	QpA	syang	sjaɴ	sjaɴ	sɨaŋ˧
820	將	將漿鱂蔣螿𢪇	即良	NpA	tsyang	tsjaɴ	tsjaɴ	tsɨaŋ˧
821	創	創瘡𠛂	初良	TpA	tsrhyang	tʂʰaɴ	tʂʰaɴ	tʂʰɨaŋ˧
822	亡	亡芒莣鋩硭杗朚邙𨛌望朢	武方	DpA	muang	maɴ	mʋaɴ	mɨaŋ˧
823	孃	孃娘瓤鑲	女良	MpA	nryang	ɳaɴ	ɳaɴ	ɳɨaŋ˧
824	牀	牀床疒	士莊	UpA	dzryang	dʐaɴ	dʐaɴ	dʐɨaŋ˧
825	莊	莊㽵妝裝䊋	側羊	SpA	tsryang	tʂaɴ	tʂaɴ	tʂɨaŋ˧
826	常	常尚裳甞嘗鋿𩼝償𪄹徜	市羊	ZpA	djyang	dʑaɴ	dʑaɴ	dʑɨaŋ˧
827	霜	霜鸘鷞孀驦騻蠰	色莊	VpA	sryang	ʂaɴ	ʂaɴ	ʂɨaŋ˧
828	牆	牆廧墻佯嬙檣薔蘠戕𤞛	在良	PpA	dzyang	dzjaɴ	dzjaɴ	dzɨaŋ˧
829	鏘	鏘瑲槍蹌蹡𨄚斨牄嶈𨶆𥏻搶	七羊	OpA	tshyang	tsʰjaɴ	tsʰjaɴ	tsʰɨaŋ˧
830	匡	匡邼筐䖱框恇劻𩬹洭軭眶䒰𩢼	去王	epI	khuang	kʰwaɴ	kʰwaɴ	kʰʷɨaŋ˧
831	王	王蚟𩵭彺	雨方	kpI	uang	waɴ	waɴ	ɦʷɨaŋ˧
832	央	央鴦殃䄃鉠秧霙胦泱	於良	hpA	qyang	ʔaɴ	ʔj̈aɴ	ʔɨaŋ˧
833	強	強彊䲔勥	巨良	fpA	gyang	ɡaɴ	ɡj̈aɴ	ɡɨaŋ˧
834	𦳝	𦳝倀鼚	褚羊	KpA	trhyang	ʈʰaɴ	ʈʰaɴ	ʈʰɨaŋ˧
835	芳	芳妨淓	敷方	BpA	phuang	pʰaɴ	pʰʋaɴ	pʰɨaŋ˧
836	狂	狂軖軭鵟㞷	巨王	fpI	guang	ɡwaɴ	ɡwaɴ	ɡʷɨaŋ˧
837	唐	唐啺𥏬煻糖糛堂坣𪕹棠搪蓎瑭餹篖螗𤚫𤛋螳塘碭鶶𩹶踼闛赯磄溏䣘傏隚䧜𨶈鎕䉎𨍴橖榶㲥㼺	徒郎	GqA	dang	daɴ	daɴ	dɑŋ˧
838	郎	郎蓈稂桹廊榔鋃硠𪁜浪䯖蜋𩷕琅瑯㝗狼欴𦵧踉莨㟍䡙艆駺躴筤𥍫閬哴	魯當	IqA	lang	ɫaɴ	ɫaɴ	lɑŋ˧
839	當	當鐺簹襠璫𨎴檔儅𦡁㼕蟷	都郎	EqA	tang	taɴ	taɴ	tɑŋ˧
840	倉	倉蒼鶬𩀞滄凔𠥐	七岡	OqA	tshang	tsʰaɴ	tsʰaɴ	tsʰɑŋ˧
841	岡	岡崗剛㓻掆笐鋼綱亢犅堈𤭛牨苀魧迒	古郎	dqA	kang	qaɴ	qaɴ	kɑŋ˧
842	桑	桑桒𠸶喪𦅇𩦌	息郎	QqA	sang	saɴ	saɴ	sɑŋ˧
843	康	康穅糠㱂㝩槺𨻷䗧𥉽邟漮𤮊㼹躿	苦岡	eqA	khang	qʰaɴ	qʰaɴ	kʰɑŋ˧
844	荒	荒𥡃肓衁𩣐鄺𥿼㠵𧧢䀮𣆖㡆巟𣺬	呼光	iqI	hwang	χwaɴ	χwaɴ	hʷɑŋ˧
845	黃	黃皇璜惶遑潢堭煌餭騜艎簧隍癀𨝴湟徨篁鱑蝗凰偟媓獚蟥韹𨜔䍿䅣𤯷葟趪	胡光	jqI	ghwang	ʁwaɴ	ʁwaɴ	ɦʷɑŋ˧
846	光	光灮洸桄胱垙𨎩輄橫𩧉恍茪僙侊	古黃	dqI	kwang	qwaɴ	qwaɴ	kʷɑŋ˧
847	湯	湯簜鏜闛𧼮踼盪蝪鼞薚𦳝	吐郎	FqA	thang	tʰaɴ	tʰaɴ	tʰɑŋ˧
848	滂	滂鎊霶雱䨦磅𣂆	普郎	BqA	phang	ᵱʰaɴ	pʰaɴ	pʰɑŋ˧
849	汪	汪尣尪洸𪁘	烏光	hqI	qwang	ʡwaɴ	ʡwaɴ	ʔʷɑŋ˧
850	鴦	鴦佒咉𧲱㹧眏姎	烏郎	hqA	qang	ʡaɴ	ʡaɴ	ʔɑŋ˧
851	炕	炕㰠䐠忼	呼郎	iqA	hang	χaɴ	χaɴ	hɑŋ˧
852	航	航筕桁行迒𨁈頏𦐄魧胻邟杭沆蚢肮苀抗吭	胡郎	jqA	ghang	ʁaɴ	ʁaɴ	ɦɑŋ˧
853	茫	茫吂䀮汒恾忙朚邙芒𥐞杗蘉𡩩𨛌	莫郎	DqA	mang	ᵯaɴ	maɴ	mɑŋ˧
854	臧	臧匨䍧戕贓样	則郎	NqA	tsang	tsaɴ	tsaɴ	tsɑŋ˧
855	囊	囊蠰	奴當	HqA	nang	naɴ	naɴ	nɑŋ˧
856	傍	傍彷膀髈䠙趽房旁篣𨜷螃䅭騯	步光	CqA	bang	ᵬaɴ	baɴ	bɑŋ˧
857	卬	卬䭹枊昂䒢㭿䩕	五剛	gqA	ngang	ɴaɴ	ɴaɴ	ŋɑŋ˧
858	藏	藏	昨郎	PqA	dzang	dzaɴ	dzaɴ	dzɑŋ˧
859	䯑	䯑	苦光	eqI	khwang	qʰwaɴ	qʰwaɴ	kʰʷɑŋ˧
860	幫	幫縍㨍𨢐鞤	博旁	AqA	pang	ᵱaɴ	paɴ	pɑŋ˧
861	庚	庚鶊更䢚秔稉粳賡羹𩱧埂浭	古行	drA	kaeng	qaˤŋ	qaˤŋ	kɣæŋ˧
862	阬	阬坑硎𥉸砊劥	客庚	erA	khaeng	qʰaˤŋ	qʰaˤŋ	kʰɣæŋ˧
863	盲	盲蝱鄳𥋝莔𨞚䥰𥭮	武庚	DrA	maeng	ᵯaˤŋ	maˤŋ	mɣæŋ˧
864	橫	橫黌蝗鐄瑝喤鍠䬝㶇䄓𧝒𤮏𪏓𢘌韹彋	戶盲	jrI	ghwaeng	ʁwaˤŋ	ʁwaˤŋ	ɦʷɣæŋ˧
865	閍	閍祊𥛱騯嗙㔙	甫盲	ArA	paeng	ᵱaˤŋ	paˤŋ	pɣæŋ˧
866	諻	諻䎕謍嚝喤	虎橫	irI	hwaeng	χwaˤŋ	χwaˤŋ	hʷɣæŋ˧
867	觵	觵觥侊𩃙䍔𣘯	古橫	drI	kwaeng	qwaˤŋ	qwaˤŋ	kʷɣæŋ˧
868	彭	彭澎膨蟚䰃棚榜䄘搒蒡篣𩡕騯憉𣂆輣𨍩	薄庚	CrA	baeng	ᵬaˤŋ	baˤŋ	bɣæŋ˧
869	脝	脝悙亨	許庚	irA	haeng	χaˤŋ	χaˤŋ	hɣæŋ˧
870	瞠	瞠橕樘䟓竀	丑庚	KrA	trhaeng	ʈʰaˤŋ	ʈʰaˤŋ	ʈʰɣæŋ˧
871	鎗	鎗鐺槍琤	楚庚	TrA	tsrhaeng	tʂʰaˤŋ	tʂʰaˤŋ	tʂʰɣæŋ˧
872	傖	傖䚘𩫿鬇崢	助庚	UrA	dzraeng	dʐaˤŋ	dʐaˤŋ	dʐɣæŋ˧
873	霙	霙鉠韺渶鶧英瑛㿮媖楧	於驚	hsA	qyaeng	ʔɹaŋ	ʔɹaŋ	ʔɣiæŋ˧
874	磅	磅恲亨澎	撫庚	BrA	phaeng	ᵱʰaˤŋ	pʰaˤŋ	pʰɣæŋ˧
875	平	平評苹枰泙坪胓蚲	符兵	CsA	byaeng	bɹaŋ	bɹaŋ	bɣiæŋ˧
876	驚	驚京荆麠麖鶁蟼	舉卿	dsA	kyaeng	kɹaŋ	kɹaŋ	kɣiæŋ˧
877	明	明盟𥁰䳟鳴	武兵	DsA	myaeng	mɹaŋ	mɹaŋ	mɣiæŋ˧
878	棖	棖盯澄掁䟫挰憕	直庚	LrA	draeng	ɖaˤŋ	ɖaˤŋ	ɖɣæŋ˧
879	趟	趟𩘽	竹盲	JrA	traeng	ʈaˤŋ	ʈaˤŋ	ʈɣæŋ˧
880	榮	榮禜蠑瑩揘嶸	永兵	ksI	uaeng	wɹaŋ	wɹaŋ	ɦʷɣiæŋ˧
881	兵	兵	甫明	AsA	pyaeng	pɹaŋ	pɹaŋ	pɣiæŋ˧
882	兄	兄	許榮	isI	huaeng	xɹwaŋ	xɹwaŋ	hʷɣiæŋ˧
883	卿	卿	去京	esA	khyaeng	kʰɹaŋ	kʰɹaŋ	kʰɣiæŋ˧
884	生	生笙牲猩狌鉎甥䴤鼪珄	所庚	VsA	sryaeng	ʂaŋ	ʂaŋ	ʂɣiæŋ˧
885	擎	擎勍黥䵞剠䲔鯨檠樈葝䫆	渠京	fsA	gyaeng	ɡɹaŋ	ɡɹaŋ	ɡɣiæŋ˧
886	迎	迎	語京	gsA	ngyaeng	ŋɹaŋ	ŋɹaŋ	ŋɣiæŋ˧
887	行	行衡䯒胻洐筕珩桁蘅𦣍	戶庚	jrA	ghaeng	ʁaˤŋ	ʁaˤŋ	ɦɣæŋ˧
888	鬤	鬤㲰𠽽獰𥣗𧂘	乃庚	MrA	nraeng	ɳaˤŋ	ɳaˤŋ	ɳɣæŋ˧
889	耕	耕	古莖	dtA	keeng	qeˤŋ	qeˤŋ	kɣɛŋ˧
890	鏗	鏗銵䡰鳽誙牼𡷨硻殸㧶䡩硜摼㰢羥	口莖	etA	kheeng	qʰeˤŋ	qʰeˤŋ	kʰɣɛŋ˧
891	甍	甍𣞑䉚萌氓甿嫇蕄𥋝𧂛𥌯	莫耕	DtA	meeng	ᵯeˤŋ	meˤŋ	mɣɛŋ˧
892	浜	浜捠	布耕	ArA	peeng	ᵱeˤŋ	peˤŋ	pɣɛŋ˧
893	宏	宏紘紭閎嶸嵤𧮯耾翃浤竑宖鈜吰𥐪彋	戶萌	jtI	ghweeng	ʁweˤŋ	ʁweˤŋ	ɦʷɣɛŋ˧
894	莖	莖䪫牼	戶耕	jtA	gheeng	ʁeˤŋ	ʁeˤŋ	ɦɣɛŋ˧
895	朾	朾丁玎𠑅𧯫䟓䆸	中莖	JtA	treeng	ʈeˤŋ	ʈeˤŋ	ʈɣɛŋ˧
896	甖	甖罌罃鶯嚶櫻嫈鸚譻鸎褮𠠜莖	烏莖	htA	qeeng	ʡeˤŋ	ʡeˤŋ	ʔɣɛŋ˧
897	崢	崢𦱊鬇埩鏳崝	士耕	UtA	dzreeng	dʐeˤŋ	dʐeˤŋ	dʐɣɛŋ˧
898	琤	琤錚凈棦噌	楚耕	TtA	tsrheeng	tʂʰeˤŋ	tʂʰeˤŋ	tʂʰɣɛŋ˧
899	儜	儜薴鬡𧭈鑏䭢嬣	女耕	MtA	nreeng	ɳeˤŋ	ɳeˤŋ	ɳɣɛŋ˧
900	怦	怦姘閛𤘾伻弸䍬㛁匉抨砰	普耕	BtA	pheeng	ᵱʰeˤŋ	pʰeˤŋ	pʰɣɛŋ˧
901	轟	轟輷䎕揈訇鍧渹𦑟𥕗𢝁	呼宏	itI	hweeng	χweˤŋ	χweˤŋ	hʷɣɛŋ˧
902	繃	繃絣𢆸拼䑫	北萌	AtA	peeng	ᵱeˤŋ	peˤŋ	pɣɛŋ˧
903	橙	橙揨𢾊𢿦湞朾虰憕瞪䆵䁎䆑	宅耕	LtA	dreeng	ɖeˤŋ	ɖeˤŋ	ɖɣɛŋ˧
904	泓	泓謍宖𨳮	烏宏	htI	qweeng	ʡweˤŋ	ʡweˤŋ	ʔʷɣɛŋ˧
905	輣	輣棚弸㥊庄	薄萌	CtA	beeng	ᵬeˤŋ	beˤŋ	bɣɛŋ˧
906	娙	娙俓	五莖	gtA	ngeeng	ɴeˤŋ	ɴeˤŋ	ŋɣɛŋ˧
907	爭	爭箏埩綪䋫猙䱢	側莖	StA	tsreeng	tʂeˤŋ	tʂeˤŋ	tʂɣɛŋ˧
908	清	清圊	七情	OuA	tshiaeng	tsʰjaŋ	tsʰjaŋ	tsʰiᴇŋ˧
909	情	情晴請夝䝼	疾盈	PuA	dziaeng	dzjaŋ	dzjaŋ	dziᴇŋ˧
910	精	精氏菁鶄蜻晶鼱婧睛𣻒旌旍箐𩓨聙	子盈	NuA	tsiaeng	tsjaŋ	tsjaŋ	tsiᴇŋ˧
911	盈	盈嬴㜲瀛籝楹贏𤟣䕦𨜏𦝚攍	以成	luA	jiaeng	jaŋ	jaŋ	jiᴇŋ˧
912	營	營鎣塋䁝濴謍	余傾	luI	jwiaeng	jwaŋ	jwaŋ	jʷiᴇŋ˧
913	嬰	嬰瓔纓攖𨟙賏蘡	於盈	huA	qiaeng	ʔjaŋ	ʔjaŋ	ʔiᴇŋ˧
914	貞	貞楨禎𨜓湞𨺟	陟盈	JuA	triaeng	ʈaŋ	ʈaŋ	ʈiᴇŋ˧
915	檉	檉偵赬䞓䟓竀蟶虰	丑貞	KuA	trhiaeng	ʈʰaŋ	ʈʰaŋ	ʈʰiᴇŋ˧
916	成	成𢦩城誠宬郕筬盛珹䫆	是征	ZuA	djiaeng	dʑaŋ	dʑaŋ	dʑiᴇŋ˧
917	呈	呈程酲𨜓珵䇸裎	直貞	LuA	driaeng	ɖaŋ	ɖaŋ	ɖiᴇŋ˧
918	聲	聲	書盈	auA	sjiaeng	ɕaŋ	ɕaŋ	ɕiᴇŋ˧
919	征	征𨒌鯖𨢹𦙫鉦怔正鴊䋊眐𧘿佂	諸盈	XuA	tjiaeng	tɕaŋ	tɕaŋ	tɕiᴇŋ˧
920	輕	輕𨆪鑋	去盈	euA	khiaeng	kʰjaŋ	kʰjaŋ	kʰiᴇŋ˧
921	名	名洺	武并	DuA	miaeng	mjaŋ	mjaŋ	miᴇŋ˧
922	跉	跉令	呂貞	IuA	liaeng	laŋ	laŋ	liᴇŋ˧
923	并	并栟箳屏	府盈	AuA	piaeng	pjaŋ	pjaŋ	piᴇŋ˧
924	傾	傾頃	去營	euI	khwiaeng	kʰjwaŋ	kʰjwaŋ	kʰʷiᴇŋ˧
925	𩛿	𩛿	徐盈	RuA	ziaeng	zjaŋ	zjaŋ	ziᴇŋ˧
926	縈	縈褮嫈䪯𢄋	於營	huI	qwiaeng	ʔjwaŋ	ʔjwaŋ	ʔʷiᴇŋ˧
927	瓊	瓊璚煢焭睘惸𢶇藑嬛𡞦赹憌𢗋𦽓𦾵𨍶㒌	渠營	fuI	gwiaeng	ɡjwaŋ	ɡjwaŋ	ɡʷiᴇŋ˧
928	騂	騂𤙡垶觪	息營	QuI	swiaeng	sjwaŋ	sjwaŋ	sʷiᴇŋ˧
929	頸	頸𩷏葝𦳲	巨成	fuA	giaeng	ɡjaŋ	ɡjaŋ	ɡiᴇŋ˧
930	𧵣	𧵣	火營	iuI	hwiaeng	xjwaŋ	xjwaŋ	hʷiᴇŋ˧
931	青	靑鶄鯖蜻靘	倉經	OvA	tsheng	tsʰeŋ	tsʰeŋ	tsʰeŋ˧
932	經	經涇頸巠	古靈	dvA	keng	qeŋ	qeŋ	keŋ˧
933	㓝	㓝刑形邢𤬐䣆桯鉶型陘侀硎娙鈃㼛𤭓鋞	戶經	jvA	gheng	ʁeŋ	ʁeŋ	ɦeŋ˧
934	庭	庭停鼮莛葶筳亭聤霆渟𩹇綎娗㼗𧖧挺楟蜓廷㹶𧓴	特丁	GvA	deng	deŋ	deŋ	deŋ˧
935	丁	丁釘玎䦺靪虰仃叮	當經	EvA	teng	teŋ	teŋ	teŋ˧
936	馨	馨𠷓蛵	呼刑	ivA	heng	χeŋ	χeŋ	heŋ˧
937	星	星曐腥胜鮏鯹𥠀醒鉎篂猩惺	桑經	QvA	seng	seŋ	seŋ	seŋ˧
938	竮	竮俜甹𢖊艵頩姘覮	普丁	BvA	pheng	ᵱʰeŋ	pʰeŋ	pʰeŋ˧
939	靈	靈霛𩄀𩆜舲齡麢𦏰囹鴒䉁蛉鈴霝醽苓櫺柃𩆚伶泠瓴𧕅拎刢𧆺𤣘𤫲玲𦉢𩖊㾉聆竛𠄖蘦軨䡼笭零孁令𪕌灵𩟃𩵀龗翎閝鹷䴇昤駖𧖜𩆮蕶酃詅彾䯍呤跉狑𤣤爧冷怜𠱠𦫊𢺰澪鏻𥤞秢䕘獜岭魿𣬹𩚹紷䉹砱阾羚姈㸳	郎丁	IvA	leng	ɫeŋ	ɫeŋ	leŋ˧
940	寧	寧寍鸋䆨𣍆𨛲𧕝嚀聹	奴丁	HvA	neng	neŋ	neŋ	neŋ˧
941	汀	汀訂桯綎聽廳町艼𦉬䩠鞓䋼𦀚庁	他丁	FvA	theng	tʰeŋ	tʰeŋ	tʰeŋ˧
942	冥	冥榠銘鄍溟䫤螟𧱴猽蓂瞑𥹆嫇覭暝	莫經	DvA	meng	ᵯeŋ	meŋ	meŋ˧
943	瓶	瓶缾蛢䶄屏荓䈂軿萍蓱竮郱畊洴箳	薄經	CvA	beng	ᵬeŋ	beŋ	beŋ˧
944	熒	熒褮螢滎䁝𧵣	戶扃	jvI	ghweng	ʁweŋ	ʁweŋ	ɦʷeŋ˧
945	扃	扃駉駫坰冋𪕍絅𣕄	古螢	dvI	kweng	qweŋ	qweŋ	kʷeŋ˧
946	蒸	蒸䒱烝𦚦䕄篜脀	煑仍	XwA	tjyng	tɕɨŋ	tɕɨŋ	tɕɨŋ˧
947	承	承丞𨋬	署陵	ZwA	djyng	dʑɨŋ	dʑɨŋ	dʑɨŋ˧
948	澂	澂澄瞪憕懲	直陵	LwA	dryng	ɖɨŋ	ɖɨŋ	ɖɨŋ˧
949	陵	陵淩夌綾凌𠗲蔆菱䔖㥄鯪崚㱥𡕮𩜁掕祾𣣋	力膺	IwA	lyng	lɨŋ	lɨŋ	lɨŋ˧
950	膺	膺應𧕄鷹	於陵	hwA	qyng	ʔɨŋ	ʔɨŋ	ʔɨŋ˧
951	凭	凭馮憑淜㵗	扶冰	CwA	bying	bɹɨŋ	bɹɨŋ	bɨŋ˧
952	冫	冫冰掤	筆陵	AwA	pying	pɹɨŋ	pɹɨŋ	pɨŋ˧
953	蠅	蠅	余陵	lwA	jyng	jɨŋ	jɨŋ	jɨŋ˧
954	繩	繩譝憴鱦乗椉𠅞澠溗塍塖騬	食陵	bwA	zjyng	ʑɨŋ	ʑɨŋ	ʑɨŋ˧
955	升	升昇陞勝抍	識蒸	awA	sjyng	ɕɨŋ	ɕɨŋ	ɕɨŋ˧
956	仍	仍艿䚮辸礽扔㭁	如乘	cwA	njyng	ɲɨŋ	ɲɨŋ	ȵɨŋ˧
957	兢	兢矜	居陵	dwA	kyng	kɨŋ	kɨŋ	kɨŋ˧
958	徵	徵𨟃癥𣃘	陟陵	JwA	tryng	ʈɨŋ	ʈɨŋ	ʈɨŋ˧
959	繒	繒鄫驓橧竲嶒	疾陵	PwA	dzyng	dzjɨŋ	dzjɨŋ	dzɨŋ˧
960	凝	凝	魚陵	gwA	ngyng	ŋɨŋ	ŋɨŋ	ŋɨŋ˧
961	興	興嬹𨞾	虛陵	iwA	hyng	xɨŋ	xɨŋ	hɨŋ˧
962	稱	稱爯偁	處陵	YwA	tjhyng	tɕʰɨŋ	tɕʰɨŋ	tɕʰɨŋ˧
963	殑	殑䔷	其矜	fwA	gyng	ɡɨŋ	ɡɨŋ	ɡɨŋ˧
964	㱡	㱡	山矜	VwA	sryng	ʂɨŋ	ʂɨŋ	ʂɨŋ˧
965	硱	硱	綺兢	ewA	khying	kʰɹɨŋ	kʰɹɨŋ	kʰɨŋ˧
966	僜	僜庱睖	丑升	KwA	trhyng	ʈʰɨŋ	ʈʰɨŋ	ʈʰɨŋ˧
967	磳	磳	仕兢	UwA	dzryng	dʐɨŋ	dʐɨŋ	dʐɨŋ˧
968	砯	砯	披冰	BwA	phying	pʰɹɨŋ	pʰɹɨŋ	pʰɨŋ˧
969	登	登璒燈簦㲪䔲㽅䳾	都滕	ExA	teong	təŋ	təŋ	təŋ˧
970	楞	楞棱稜輘倰祾	魯登	IxA	leong	ɫəŋ	ɫəŋ	ləŋ˧
971	僧	僧鬙䒏	蘇增	QxA	seong	səŋ	səŋ	səŋ˧
972	崩	崩	北滕	AxA	peong	ᵱəŋ	pəŋ	pəŋ˧
973	增	增憎磳曾矰罾熷䎖竲橧譄𦼏	作滕	NxA	tseong	tsəŋ	tsəŋ	tsəŋ˧
974	瞢	瞢蕄䒐𦱟	武登	DxA	meong	ᵯəŋ	məŋ	məŋ˧
975	層	層曾䁬	昨棱	PxA	dzeong	dzəŋ	dzəŋ	dzəŋ˧
976	朋	朋堋鵬棚倗鬅	步崩	CxA	beong	ᵬəŋ	bəŋ	bəŋ˧
977	弘	弘鞃苰	胡肱	jxI	ghweong	ʁwəŋ	ʁwəŋ	ɦʷəŋ˧
978	肱	肱𩉦	古弘	dxI	kweong	qwəŋ	qwəŋ	kʷəŋ˧
979	薨	薨𠐿𩖉𩙛𤃫	呼肱	ixI	hweong	χwəŋ	χwəŋ	hʷəŋ˧
980	能	能	奴登	HxA	neong	nəŋ	nəŋ	nəŋ˧
981	騰	騰滕縢幐螣藤謄𧈜儯𤻴鰧𥉋	徒登	GxA	deong	dəŋ	dəŋ	dəŋ˧
982	恆	恒𢛢峘	胡登	jxA	gheong	ʁəŋ	ʁəŋ	ɦəŋ˧
983	揯	搄縆絙	古恆	dxA	keong	qəŋ	qəŋ	kəŋ˧
984	鼟	鼟膯𤃶𧰥	他登	FxA	theong	tʰəŋ	tʰəŋ	tʰəŋ˧
985	漰	漰堋	普朋	BxA	pheong	ᵱʰəŋ	pʰəŋ	pʰəŋ˧
986	尤	尤𣏞腄疣肬𪐤沋郵訧	羽求	kyA	u	wu	wu	ɦɨu˧
987	憂	憂優瀀𢕶麀𪋎櫌鄾𢆶怮嚘耰獶𧀥纋㱊妋	於求	hyA	qu	ʔu	ʔj̈u	ʔɨu˧
988	劉	劉留蒥勠摎鶹騮駵疁𥹷流㳅飂飀瘤榴瑬旒瑠𪕚𤠑䉧𥰣瀏䬟䱖鰡嵧𣠚鎦𦃓𢷶𨶪懰餾䖻裗𪆱𪎣硫遛䚧憀鏐	力求	IyA	lu	lu	lu	lɨu˧
989	秋	秋秌鞧緧𦃈鞦湫鶖鰍楸萩𪓰䵸蟗䨂篍趥	七由	OyA	tshu	tsʰju	tsʰju	tsʰɨu˧
990	猷	猷猶悠油由攸蕕浟𠧷𢋅冘邎輶蘨秞蚰蝣櫾楢𦳷斿游遊𨒰卣䚻鮋䱔抌揄舀偤䍃𤪎邮繇㳛㾞囮㘥庮甹𣔴𧡹𦵵	以周	lyA	ju	ju	ju	jɨu˧
991	牛	牛	語求	gyA	ngu	ŋu	ŋj̈u	ŋɨu˧
992	遒	遒鮂䎿蝤啾逎𩭓揂揫湫𣟼	即由	NyA	tsu	tsju	tsju	tsɨu˧
993	酋	酋㥢遒䎿崷鰌蝤煪𧤕𦵩	自秋	PyA	dzu	dzju	dzju	dzɨu˧
994	脩	脩修羞𩛢𩝧䡭樇	息流	QyA	su	sju	sju	sɨu˧
995	抽	抽𢭆㨨婤𥈌惆瘳妯	丑鳩	KyA	trhu	ʈʰu	ʈʰu	ʈʰɨu˧
996	𠁫	恘𰀧㲃	去秋	e0A	khyiw	kʰɹiw	kʰɹiw	kʰiu˧
997	犫	犫犨	赤周	YyA	tjhu	tɕʰu	tɕʰu	tɕʰɨu˧
998	周	周州𥺝輖洲賙喌舟郮婤	職流	XyA	tju	tɕu	tɕu	tɕɨu˧
999	讎	讎𣫐𣀓鮋酬醻詶雔魗𨞪	市流	ZyA	dju	dʑu	dʑu	dʑɨu˧
1000	柔	柔鍒㽥騥蝚蹂葇鞣鰇瑈腬鶔揉䰆𨛶䐓	耳由	cyA	nju	ɲu	ɲu	ȵɨu˧
1001	收	收	式州	ayA	sju	ɕu	ɕu	ɕɨu˧
1002	丘	丘丠蓲蚯邱訄	去鳩	eyA	khu	kʰu	kʰj̈u	kʰɨu˧
1003	䬌	䬌秠𡫺衃肧紑醅	匹尤	ByA	phu	pʰu	pʰʋu	pʰɨu˧
1004	鳩	鳩𦫶𠠳朻䡂㽱𨷺丩龜勼	居求	dyA	ku	ku	kj̈u	kɨu˧
1005	不	不哹紑䍍鴀	甫鳩	AyA	pu	pu	pʋu	pɨu˧
1006	𢯱	𢯱捜𩜯䬒𣸈䤹廋蒐𦺋獀䐹𨜛䗏䮟犙䤇𧼭	所鳩	VyA	sru	ʂu	ʂu	ʂɨu˧
1007	搊	搊𢬆篘醔㮲𥻤謅	楚鳩	TyA	tsrhu	tʂʰu	tʂʰu	tʂʰɨu˧
1008	鄒	鄒鄹郰騶齱陬緅䑼𨃘菆棷箃𠿈黀	側鳩	SyA	tsru	tʂu	tʂu	tʂɨu˧
1009	愁	愁㵞	士尤	UyA	dzru	dʐu	dʐu	dʐɨu˧
1010	休	休貅㹯鵂𩢮㾋庥脙𦜵髤䰍咻㵻	許尤	iyA	hu	xu	xj̈u	hɨu˧
