小韻號	廣韻對應小韻號	代表字	全部字	反切
496	535	盤	盤瘢磐幋磻䰉般蹣搫鞶媻𥈼䈲槃𪒀𪄀蟠	薄官
497	519	看	看靬刊栞臤	苦寒
498	536	瞞	瞞顢謾蹣䊡慲鏝㒼鞔鬗鰻悗䜱䤍芾	武安
499	512	餐	飡	倉干
500	518	蘭	蘭瀾闌讕𨷻籣欄囒躝	落干
501	516	殘	殘䏼戔𥂫𣦼㥇	昨干
502	513	嘽	嘽嘆攤灘嬗譠痑𦧴	他單
503	537	潘	潘㽃番拌㢖	普官
504	511	難	難	乃干
505	514	𦙱	𦙱跚珊姍䈀	蘇干
506	520	頇	頇	許安
507	538	𤳖	𤳖般𠦒	北潘
508	539	刪	刪訕𣧱㹪潸	所姦
509	540	關	關癏𢇅	古還
510	541	彎	彎灣潫	烏關
511	543	還	還環𠟼鬟寰闤糫鍰鐶䭴㡲䍺	胡關
512	544	斑	斑鳻肦螌班䰉𠔯班頒	布還
513	545	蠻	蠻𪈿獌	莫還
514	547	姦	姦菅葌	古顏
515	546	顏	顔	五姦
516	548	攀	攀眅	普班
517	549	奻	奻	女還
518	550	𤸷	𤸷	五還
519		豩	豩	呼關
520		㨜	㨜	几焉
521	554	山	山疝邖	所閒
522	555	鱞	鰥	古頑
523	556	閒	閒艱	古閑
524	557	閑	閑嫺𤺛𩦃蛝瞯鷳藖憪	胡山
525	558	慳	慳𧢞顅掔羥臤𩋆	苦閒
526	559	虥	虥鬜潺𨬖孱𡎻䡲	昨閑
527	560	羴	羴	許閒
528	561	𤡥	𤡥訮虤㗴圁	五閑
529		頑	頑	吳鱞
530	562	黰	黰𦎣殷	烏閑
531	563	斒	斒虨	方閑
532	564	斕	斕	力閑
533	565	嘫	嘫㬮	奴閒
534	566	㺗	㺗	充山
535	568	窀	穵	除頑
536		譠	譠	丑山
537	567	𡣬	𡣬	於鱞
538	575	先	先蹮𥑻	蘇前
539	576	前	前𦺍𥮒騚	昨先
540	577	千	千阡汘仟芊千	倉先
541	578	牋	牋𣿕帴韀箈葏𨔥	則前
542	579	天	天𦧝吞	他前
543	596	祆	祆訮	呵憐
544	580	堅	堅鋻𢮂惤开肩鳽𧲨菺𪊑𪚟鵳鰹䋗	古賢
545	581	賢	賢弦舷絃蚿胘㢺𠛑礥𧼏蜆𢛆㭹	胡千
546	582	煙	煙燕咽橪𥷀	烏前
547	583	蓮	蓮憐嗹縺𪍴	路賢
548	584	田	田佃畋畇塡闐䟧蟬鈿滇搷磌鷆	徒賢
549	585	年	年𨚶	奴賢
550	586	顛	顛𩖁瘨𩥄槙滇𧽍𠑘蹎驒厧	都賢
551	587	牽	牽縴汧掔雃邢𪊑蛢	苦賢
552	588	姸	妍鳽研俓㿼幵	五賢
553	589	眠	眠矏𦖑䰓㝰	莫賢
554	590	蹁	蹁蠙骿軿駢㼐賆	蒱田
555	591	淵	淵㾓弲𪔱剈𨖳𩁵蜎	烏玄
556	592	涓	涓蠲𦮻䅌鵑睊	古玄
557	593	鋗	鋗駽矎梋㘣	火玄
558	594	邊	邊籩甂蝙編猵稹萹𠑟蹁𤄺牑	布玄
559	595	玄	玄懸眩䮄玹盷胘	胡涓
560	598	仙	仙䉳苮蹮秈鮮㲔硟	相然
561	599	錢	錢	昨仙
562	600	遷	遷櫏	七然
563	601	煎	煎湔	子仙
564	602	然	然燃𤡮㜣肰𥳚䕼	如延
565	603	延	延埏筵𨓴綖蜒䘰鋋𧻃	以然
566	604	𩜾	𩜾旃䄠栴氈鸇	諸延
567	605	甄	甄	居延
568	606	邅	邅驙鱣	張連
569	607	潺	潺虥𨬖孱𡎻䡲	士連
570	608	羶	羶挻煽脠鯅䘰	式連
571	609	脠	脠梴鏈辿	丑連
572	610	鋋	鋋單蟬𡠐儃禪	市連
573	611	纏	纏躔𤁄㙻𨞬𧾍𧓋	直連
574	612	嘕	嘕嫣𦒜仚	許延
575	613	連	連聯漣翴鰱鏈㶌𪚀㦁槤	力延
576	614	篇	篇偏翩媥㾫萹	芳便
577	615	便	便緶箯楄𧍲諞	房連
578	616	綿	綿棉謾矊蝒䫵𢣔𣏜𧉝宀	武連
579	617	全	全泉牷葲𧍭	聚緣
580	618	宣	宣揎愃𩕖	須緣
581	619	鐫	鐫剶	子泉
582	620	翾	翾儇弲𧾎蠉頨𥌭	許緣
583	621	壖	壖袻橍	而緣
584	622	穿	穿川灥	昌緣
585	623	沿	沿鉛櫞捐鳶縁蝝𦿂阭䱲𦛔	与專
586	624	旋	旋檈璿㳬琁㔯鏇䁢𧐗圓	似宣
587	625	娟	娟嬛悁	於緣
588	626	船	船	繩川
589	627	鞭	鞭鯾編箯揙	卑連
590	628	涎	涎	敘連
591	629	詮	詮銓痊佺悛駩荃筌絟譔謜恮遵剶峑栓	此緣
592	630	專	專甎顓篿鄟嫥	職緣
593	631	遄	遄圌輲椯諯歂	市緣
594	632	員	員圓湲	王權
595	634	栓	栓𨏉	山員
596	635	鐉	鐉剶	丑專
597	636	乾	乾虔犍鰬𨜻騝	渠焉
598	637	愆	愆褰騫䙭𧽐	去乾
599	638	權	權拳觠狋顴婘䠰踡𤷄犈蠸齤𪈻蜷𥁠鬈䟒䑏孉	巨員
600	639	椽	椽傳	直緣
601	640	攣	攣𤼙䜌𧖘	呂緣
602	641	弮	弮㒽捲𢑆鬈	去員
603	642	焉	焉漹䗡	於乾
604	644	嬽	嬽	於權
605	633	跧	跧䀬	莊緣
606	647	勬	勬	居員
607	648	蕭	蕭簫彇蟰橚潚𩘹綃撨箾翛鮹	蘇彫
608	649	祧	祧佻挑朓恌聎趒蓧	吐彫
609	650	貂	貂䯾彫刀琱凋䂏鯛鵰蛁瞗苕弴𠚥㚋鳭𠚥袤	都聊
610	651	迢	迢條髫跳鋚𧌁蜩𢓝苕芀調嬥䯾𠧪樤䱔𣬸	徒聊
611	652	驍	驍䲷県澆憿邀釗蟂僥	古堯
612	653	聊	聊𦗖膋飉遼憀寥竂料㙩橑撩摷廖僚鐐豂嶚簝鷯𥲊璙嫽漻瞭𦿌𧂏癆𡽐蟧寮	落蕭
613	654	堯	堯嶢僥垚顤	五聊
614	655	膮	膮嘵䫞𦟞㚠䎄	許幺
615	656	幺	幺怮	於堯
616	657	鄡	鄡𨜑𢿣	苦聊
617	658	宵	宵消霄捎逍痟綃銷硝蛸揱踃莦䴛奞	相焦
618	659	超	超怊𠰉	勅宵
619	660	朝	朝	知遙
620	661	晁	晁潮鼂朝	直遙
621	662	囂	嚻枵歊毊獢𤣠虈䖺𩱴藃	許喬
622	663	樵	𦿕劁僬䏆憔譙嶕𡻝䩌推菬	昨焦
623	664	驕	驕嬌憍穚簥鷮蕎撟	舉喬
624	665	焦	焦㲬蕉膲鷦椒噍鐎𪚰𦅃鳭䩌	即遙
625	666	饒	饒襓撓犪蟯蕘	如招
626	667	燒	燒𤫺	式招
627	668	遙	遥媱傜颻𣣳窯䔄𦾺珧鰩銚姚揺瑶謡軺𢝾恌䠛𨙂蘨㫍𢑄嗂榣烑褕𤻂	余招
628	669	韶	韶佋柖𠧙𢃳邵軺	市招
629	670	昭	昭鵃鉊招盄弨釗	止遙
630	671	飈	飈摽猋杓瘭幖熛髟標贆𣄠	甫遙
631	672	鑣	鑣儦瀌穮	甫喬
632	673	瓢	瓢飄䕯𣠔	符遙
633	674	蜱	蜱䖢薸篻𪃦	無遙
634	675	苗	苗貓	武儦
635	676	腰	腰要葽喓𧍔䙅紗䳩蟯邀	於宵
636	677	鴞	鴞𨚙	于驕
637	678	喬	喬橋趫僑鐈嶠鷮㝯毊轎䀉	奇驕
638	679	鍫	鍫幓𣟼篍	七遙
639	680	妖	妖祅𣓎𡝩	於喬
640	681	蹻	蹻繑䫞趬㚠趫	去遙
641	682	怊	𢁾弨	尺招
642	683	漂	漂杓𩙒嫖旚犥鏢僄翲飃瞟螵嘌慓𨄏𦠎票	撫遙
643	684	翹	翹𦱒嘺䎗𤖻	渠遙
644	685	燎	燎髎	力昭
645	686	趫	趫橇𢄹	去遙
646	687	肴	肴崤𦺔殽洨筊姣猇㮁爻倄㤊䋂𨠦淆	胡茅
647	688	交	交蛟茭鵁鮫膠郊咬嘐詨筊轇𡥉𩎔	古肴
648	689	巢	巢𨏋𠢶𡏮鄛窼	鋤肴
649	690	鐃	鐃呶譊怓䴃𡽧㺜	女交
650	691	梢	梢捎髾輎旓弰䈰筲鞘蛸鮹莦𥙬娋𡡏䈾	所交
651	692	茅	茅蟊貓犛媌鶜	莫交
652	693	虓	虓髇藃窙嗃䬘髐涍灱庨哮猇	許交
653	694	包	包胞	布交
654	695	胞	胞𨚔䍖脬拋泡𠐋𦫶	匹交
655	696	敲	敲骹𥉾㤍磽頝墝	口交
656	697	聱	聱謷摮磝𢿲	五交
657	698	𦗔	𦗔罺抓	側交
658	699	嘲	嘲䞴鳭	張交
659	700	䜈	䜈抄𦾱訬䰫	楚交
660	701	庖	庖咆匏炮瓟麃掊𠣺尥狍鉋嘐	薄交
661	702	䫜	䫜㕭眑梎坳	於交
662	706	豪	豪號毫噑濠崤𨚙敖𣘫䧫獔	胡刀
663	707	高	高膏羔皐餻𡼗櫜咎鼛鷱槹篙倃𧢌忴䓘𦺆𨝲麔	古勞
664	708	勞	勞澇牢簩䝁醪撈𤩂嫪𦗖哰簝䜮𣘪	盧刀
665	709	蒿	蒿撓薧薅𧯌	呼高
666	710	毛	毛髦芼𣹪旄氂堥㮘	莫袍
667	711	饕	饕洮韜謟滔叨弢𩥓㹗𤘸槄慆絛𠌪𠬢詜夲𠚡䈱	吐高
668	712	刀	刀魛忉裯舠	都勞
669	713	騷	騷搔繰臊鱢慅溞艘	蘇刀
670	714	袍	袍軳	薄褒
671	715	襃	襃𨚔	博毛
672	716	陶	陶䛬咷桃綯燾逃鼗掏濤檮騊裪蜪錭駣㹗翢萄	徒刀
673	717	糟	糟遭㷮槽𣩒㯥䄚㡟	作曹
674	718	敖	敖翶聱謷驁獒熬嶅滶鷔鼇螯蔜𩪋𩓁嚻𢧴䦋鰲嗷鏊	五勞
675	720	爊	爊鑣	於刀
676	719	曹	曹槽螬嘈鐰䄚艚䏆蓸褿𩫥	昨勞
677	721	猱	猱㺜巎𤫕夒	奴刀
678	722	尻	尻	苦勞
679	723	操	操懆	七刀
680	725	哥	哥柯㤎妿渮戕牂滒牁	古俄
681	753	和	和𤖱禾龢	胡過
682	739	過	過渦戈鍋𨍋𩾷𧒖	古和
683	749	𩼊	𩼊樏騾螺𣜄𧄿𥢵𨰠覶腡𩰫𦿌鸁	落過
684	742	莎	莎魦莏𢘿趖蘘梭唆	蘇禾
685	746	痤	痤矬銼睉㭫	昨和
686	747	訛	訛鈋囮卬蔿譌	五和
687	754	科	科窠薖稞萪蝌㸰䈖㽿課簻	苦和
688	755	倭	倭濄渦涹	烏和
689	726	蹉	蹉瑳搓磋傞𪘓	七河
690	727	多	多𦷛	得河
691	743	婆	婆鄱𩕏𦃡	薄何
692	745	摩	摩𡡉磨魔䯢髍𥂓	莫何
693	729	駞	駝鼉袉沲鼧㼠䡐驒𡩆絁鮀陀䍫𧿶𩉺𧕛	徒何
694	730	醝	醝㽨瘥䣜𣩈鹺嵯蒫䴾酇虘𪘓躦	昨何
695	731	莪	莪哦峨鵞蛾俄𩒰誐涐娥	五歌
696	732	他	他扡痑它	託何
697	733	羅	羅蘿籮儸欏	盧何
698	734	那	那㔮𤘟挪𡖝臡𠹈	諾何
699	735	何	何河荷苛魺蚵	韓柯
700	736	訶	訶𩑸妸抲	虎何
701	751	波	波皤紴嶓	博何
702	752	頗	頗坡	滂何
703	737	珂	珂軻	苦何
704	738	阿	阿娿痾鈳䋪	烏何
705	748	𧦭	𧦭涶䛢䜏	吐和
706	750	挼	挼	奴和
707	744	牠	牠碢	徒和
708	756	鞾	鞾𢪎	火戈
709	741	𨹃	𨹄	丁戈
710	760	呿	呿㰦	墟迦
711	761	迦	迦	居呿
712	759	伽	伽	求迦
713		虵	虵	夷柯
714	753	㗻	㗻	于戈
715	762	脞	脞㛗	倉和
716	763	侳	侳挫	子過
717	766	麻	麻犘蟇𥂓	莫霞
718	767	車	車硨	昌遮
719	768	奢	奢賖畬	式車
720	769	耶	耶斜釾椰𥯘擨䓉𦭿䔑	以遮
721	770	遮	遮㸙𠌮	止奢
722	771	嗟	嗟𦊕㜘袓𣩈謯	子邪
723	772	蛇	蛇	食遮
724	773	華	華驊鷨𧑍鋘鏵釫	戶花
725	774	瓜	瓜騧緺蝸婐㧓	古華
726	775	花	花譁	呼瓜
727	776	誇	誇䠸姱䯞	苦瓜
728	777	拏	拏詉挐笯𦬻𧘽	女加
729	778	嘉	嘉家加葭笳麚豭痂鴐枷袈𧉪茄迦珈𨔣犌𤠙瘕	古牙
730	779	遐	遐蝦鍜霞瑕騢鰕䠍䫗碬𩋥	胡加
731	780	葩	葩蚆	普巴
732	781	鵶	鵶錏㝞𠜲	烏加
733	782	巴	巴鈀笆豝蚆芭	伯加
734	783	叉	叉釵靫䐤𠞊㼮	初牙
735	784	砂	沙鯊裟桬紗䩖	所加
736	785	牙	牙衙芽齖	五加
737	786	樝	樝𦳏㪥皻䶥柤摣浾	側加
738	787	𡨀	𡨀䠧荼䣝𣘻塗𨼑梌秅	宅加
739	788	衺	衺䔑	似嗟
740	789	闍	闍	視奢
741	790	窊	窊洼	烏瓜
742	791	髽	髽	莊花
743	792	撾	撾䒳	陟瓜
744	793	爬	爬杷琶	蒲巴
745	794	楂	楂䶥㢒䣜	鋤加
746	795	侘	侘㗬	勅加
747	796	奓	奓𧬅觰䅊譇䐒𪗭	陟加
748	797	煆	煆呀颬	許加
749	798	䶗	䶗	客加
750	800	婼	婼	而遮
751	799	㚗	㚗	才耶
752	1072	覃	覃𨝸潭曇藫橝蟫譚𧽼燂壜鐔㽑㽎	徒南
753	1073	參	參驂傪䟃	倉含
754	1074	南	南男柟弇聃抩𪚮	那含
755	1075	諳	諳䳺馣媕庵腤喑韽盦	烏含
756	1076	含	含涵㮀𦛜䤴顄𣹢𩄙鋡𤭙𠤿䶃筨圅	胡南
757	1077	婪	婪燷葻嵐	盧含
758	1080	貪	貪探	他含
759	1079	簮	簪篸䐶𥸢鐕	作含
760	1078	蠶	蠶撏𨅔	昨含
761	1081	躭	躭眈妉酖媅𧡪𡖓	丁含
762	1082	龕	龕𢦟頷堪𤯎嵁戡	口含
763	1083	㟏	㟏𩈣馠𡬖欦	火含
764	1084	毿	毿蔘	蘇含
765	1085	弇	弇䶃淦𣤭蜬	古南
766	1086	儑	儑𡪁嵁	五含
767	1087	談	談郯惔錟淡痰𥰨㶣	徒甘
768	1088	甘	甘䇞柑苷泔𡜉	古三
769	1089	擔	擔儋聸頕甔	都甘
770	1090	三	三𢁘	蘇甘
771	1091	藍	藍襤䰐㩜籃婪灆䆾	盧甘
772	1092	坩	坩	苦甘
773	1093	䑙	䑙耼𡉱𦶈䆱緂	他酣
774	1094	慙	慙鏨䳻	昨甘
775	1095	酣	酣甝䗣𤯎邯炶魽	胡甘
776	1096	姏	姏	武酣
777	1097	𩈻	𩈻	作三
778	1098	蚶	蚶憨嬜歛	火談
779		笘	笘	倉甘
780	805	陽	陽暘煬鍚揚禓昜羊瘍蛘徉𩋬鰑样𦍹鸉詳眻𥂸痒𦭵輰敭楊	与章
781	806	詳	詳翔洋祥庠痒𦍙	似羊
782	807	良	良梁涼𥞹蜋𩗬量粮踉輬𣄴綡䣼㹁椋䝶	呂張
783	808	𥞌	香薌郷膷皀	許良
784	809	商	商𧶜傷蔏殤觴𥛙𪄲塲幛饟䵼㲽𥏫𤵼	書羊
785	810	房	房防魴鴋	符方
786	811	章	章漳樟慞彰墇麞鄣蔁暲璋	諸良
787	812	昌	昌裮倡猖閶鯧	處良
788	813	羌	羌蜣猐	去良
789	814	薑	薑㹔韁殭礓壃橿姜䗵僵	居良
790	815	長	長萇䠆膓場㙊瓺䗅	直良
791	816	張	張餦粻	陟良
792	817	穰	穰攘𨟚躟蘘瀼獽禳勷鬤瓤孃䉴	汝陽
793	818	方	方坊肪蚄邡鴋枋鈁牥匚	府長
794	819	襄	襄廂湘箱緗相儴纕驤𣀮	息良
795	820	將	將漿鱂蔣螿𢪇	即良
796	821	瘡	瘡𠛂	楚良
797	822	亡	亡望朢莣芒鋩硭杗邙忘朚	武方
798	823	孃	孃瓤娘鑲	女良
799	824	牀	牀疒	士莊
800	825	莊	莊裝妝䊋	側羊
801	826	常	常裳甞鋿𩼝𪄹	時羊
802	827	霜	霜孀騻鸘	所良
803	828	牆	牆檣薔嬙戕奘佯	疾良
804	829	鏘	鏘瑲蹌蹡斨搶𨄚𨶆𥏫牄	七將
805	830	匡	匡筐䖱邼框恇劻洭軭	去王
806	831	王	王蚟	雨方
807	832	央	央鴦殃鉠秧泱映	於良
808	833	強	強僵彊䲔	巨良
809	834	𦳝	𦳝倀鼚	褚良
810	835	芳	芳妨淓	敷方
811	836	狂	狂軖鵟	渠王
812	837	唐	唐煻糖堂𪕹搪棠蓎瑭餹篖螳𤚫螗㲥踼闛閬榶橖隚䧜䣘㼺鎕䉎𨎋塘	徒郎
813	838	郎	郎稂桹廊榔鋃硠𪁜浪䯖蜋狼𩷕琅㝗𦵧欴踉莨㟍𥍫艆駺筤	魯當
814	839	當	當鐺簹襠璫檔㼕蟷	都郎
815	840	倉	倉蒼鶬滄𩀞	七崗
816	841	剛	剛崗掆笐鋼綱亢犅堈魧㼚	古郎
817	842	桑	桑喪𩦌𦅇	息郎
818	843	康	康穅㱂㝩躴㼹漮䗧	苦岡
819	844	荒	荒𥡃肓𥁃𣺬慌㠵𥿼𧧢𩣐	呼光
820	845	黃	黄皇璜遑惶潢堭煌餭騜艎簧隍癀𨝴湟徨鱑篁葟𨜔堭媓𤯷䍿䅣蟥蝗	胡光
821	846	光	光洸垙桄𨎩胱横茪僙	古皇
822	847	湯	湯鏜簜蝪𦳝	吐郎
823	848	滂	滂鎊霶𣂆雱	普郎
824	849	汪	汪𪁘尪洸尢	烏光
825	850	鴦	鴦佒咉姎	烏郎
826	851	炕	炕㰠	呼郎
827	852	航	航筕桁行迒頏魧胻邟苀蚢抗	胡郎
828	853	茫	茫吂䀮汒恾朚蘉㡆𡩩杗𨛌	莫郎
829	854	臧	臧牂样𧷢	則郎
830	855	囊	囊蠰	奴當
831	856	傍	傍彷膀䠙趽旁䅭騯	步光
832	857	卬	卬䭹枊昂䒢䩕	五崗
833	858	藏	藏	昨郎
834	859	䯑	䯑	苦光
835	861	庚	庚鶊更秔䢚羹	古行
836	862	坑	坑劥砊阬	客庚
837	863	盲	盲蝱鄳𥋝莔𨞚	武庚
838	864	橫	横黌蝗鐄瑝喤鍠䬝㶇䄓𪏓𢘌韹彋	胡盲
839	865	閍	閍祊嗙㔙	甫盲
840	866	諻	諻喤嚝	虎橫
841	867	觥	𧣶侊䍔	古橫
842	868	彭	彭澎膨蟛䰃棚榜䄘搒憉𣂆篣蒡𨍩騯	薄庚
843	869	朜	朜享惇湞	許庚
844	870	瞠	瞠𢴤竀	丑庚
845	871	鎗	鎗槍	楚庚
846	872	傖	傖䚘鬇	助庚
847	873	霙	霙鉠韺渶英瑛楧鶧	於京
848	874	磅	磅恲享椁澎	撫庚
849	875	平	平評苹胓泙蚲	蒲兵
850	876	驚	驚京荆麖	舉卿
851	877	明	明盟䳟鳴	武兵
852	878	棖	棖盯澄掁瞪挰憕	直庚
853	879	趟	趟𩘽	竹盲
854	880	榮	榮蠑瑩揘嶸禜	永兵
855	881	兵	兵	補榮
856	882	兄	兄	許榮
857	883	卿	卿	去京
858	884	生	生笙牲猩鉎甥䴤	所京
859	885	擎	擎勍鯨黥檠樈葝䫆	渠京
860	886	迎	迎	語京
861	887	行	行衡筕珩蘅𦣍洐桁鶊	戶庚
862	888	鬤	鬤㲰𧂘	乃庚
863	861	賡	賡	古行
864	889	耕	耕	古莖
865	890	鏗	鏗䡰鳽誙牼摼㧶𨌳𡷨硻臤硜	口莖
866	891	甍	甍䉚萌氓嫇夢蕄	莫耕
867	893	宏	宏紘紭閎嶸𧮯耾翃宖竑𥥈𦐌	戶萌
868	894	莖	莖䪫牼	戶耕
869	895	朾	朾玎䆸	中莖
870	896	甖	甖嚶鶯櫻嫈鸚譻鸎	烏莖
871	897	崢	崢𦱊鬇	仕耕
872	898	琤	琤錚棦	楚莖
873	899	儜	儜薴𧭈鬡𧞻䭢	女耕
874	900	怦	怦姘閛𤘾抨砰㛁䍬	普耕
875	901	轟	轟䎕揈訇㧦	呼宏
876	902	繃	繃絣	甫萌
877	903	橙	橙㨃湞䁎㲂䆑䆵	直耕
878	904	泓	泓謍宖	烏宏
879	905	輣	輣棚庄	扶萌
880	906	娙	娙俓	五莖
881	907	爭	爭箏䋫猙埩䱢	側莖
882	908	清	清圊	七精
883	909	情	情晴請夝	疾盈
884	910	精	精氏菁旍鶄蜻晶鼱婧聙𣻓	子清
885	911	盈	盈㜲瀛籯嬴楹贏𤟣攍㵬	以成
886	912	營	營塋䁝	余傾
887	913	嬰	嬰瓔纓攖𨟙賏	於盈
888	914	貞	貞楨禎𨜓𨺟	陟盈
889	915	檉	檉偵赬酲䟓虰	勅貞
890	916	成	成城誠宬郕筬䫆盛晟	市征
891	917	呈	呈程酲珵䇸裎	直貞
892	918	聲	聲𦕌	書盈
893	919	征	佂鉦征鯖正怔	諸盈
894	920	輕	輕鑋𨆪	去盈
895	921	名	名洺	武并
896	922	跉	跉令	呂貞
897	923	并	并栟箳	補盈
898	924	傾	傾	去營
899	925	𩛿	𩛿	徐盈
900	926	縈	縈嫈䪯𢄋褮	於營
901	927	瓊	瓊煢睘惸𢶇藑儝赹𦾵𨍶嬛	渠營
902	928	騂	騂垶觪𤙡	息營
903	929	頸	頸𩷏葝	巨成
904	931	青	青	倉經
905	932	經	經涇鵛	古靈
906	933	形	形刑邢桯䤯型陘侀㼛𤬐鄄	戶經
907	934	庭	庭停鼮𠅘莛葶筳聤霆挺楟𧓴娗㼗打𩹇綎㹶𧖨	特丁
908	935	丁	丁釘䦺	當經
909	936	馨	馨𠷓蛵	呼形
910	937	星	星腥胜鯹𥠀醒鉎篂猩	桑經
911	938	竮	竮甹頩姘𢖊	普丁
912	939	靈	靈柃舲齡囹麢鴒䉁蛉鈴零櫺伶泠瓴玲酃𦉢𩖊聆竛𪕌蘦笭軨靇龗岭魿醽苓𣬹翎霝孁𩚹紷𩆚	郎丁
913	940	寧	寧𣍆寍鸋𧕝	奴丁
914	941	汀	汀訂桯綎聽廳町𦀚頲艼	他丁
915		鯖	鯖	於形
916	942	冥	冥榠銘鄍溟䫤螟𧱴蓂嫇覭𥹆	莫經
917	943	瓶	瓶蛢䶄屏荓䈂軿蓱竮䓑郱𤳊𤭔	薄經
918	944	熒	熒褮螢滎䁝𧵣	胡丁
919	945	扃	扃䮐駫坰熲𪕍絅冋	古螢
920	986	尤	尤𣏞睡疣沋訧郵	羽求
921	987	憂	憂優瀀麀𢖒擾鄾𢆶怮嚘𥣯妋纋𧀥㱊	於求
922	988	劉	劉留蒥勠摎𪅳駵騮疁𥹷流旒飂瘤榴瑬瑠𪕚憀䖻蟉裗懰䝀䉧硫𪆱	力求
923	989	秋	秋鞧鶖鰍楸萩篍䨂鰌𪓰	七遊
924	990	猷	猷悠油由猶攸蕕浟遊逌𢋅冘𨙂輶蘨秞蚰蝣櫾庮𩿬囮舀㕀𣔴䖻禉𨗰邮𧡹䍃斿㾞𦷿𦽈	以周
925	991	牛	牛	語求
926	992	遒	遒鮂䎿蝤啾湫𣟼噍𩮈揫	即由
927	993	酋	酋㥢䎿逎𣟼𦵩𣩒煪𧤕緧蝤	字秋
928	994	脩	脩羞修𩛢鏅䡭樇	息流
929	995	抽	抽惆瘳婤𥉈	勅鳩
930	997	犨	犨	赤周
931	998	周	周州洲賙喌舟婤脽輖	職鳩
932	999	讎	讎酬詶雔魗鮋	市流
933	1000	柔	柔鍒㽥騥葇鞣蹂堥䐓腬𨛶	耳由
934	1001	收	收	式州
935	1002	丘	丘蓲蚯訄邱	去求
936	1003	䬌	䬌秠衃肧䍍紑醅	匹尤
937	1004	鳩	鳩𨷺丩𦮁	居求
938		𠠳	𠠳𦫶朻㽱	居虯
939	1005	不	不	甫鳩
940	1006	搜	搜餿颼溲鎪廋蒐䐹鄋螋犙𧽏獀醙	所鳩
941	1007	搊	搊篘𣔖	楚尤
942	1008	鄒	鄒騶齱陬緅黀𨃘菆棷䑼	側鳩
943	1009	愁	愁㵞	士求
944	1010	休	休㹯鵂庥脙髤𩢮貅瞍	許尤
945	996	惆	惆	去愁
946	1011	囚	囚泅慒苬鮂	似由
947	1012	儔	儔躊幬裯疇紬綢稠薵檮鯈籌𠷎怞嚋䬞菗妯𣪾鮋𨞪𪇘	直由
948	1013	輈	輈盩啁譸	張流
949	1014	裘	裘求銶仇厹頄蛷逑球賕艽鼽訅𦬖殏䤛㭝莍䜪朹絿䊵俅扏脙肍𢛃訄䣇𡨃毬	巨鳩
950	1015	浮	浮哹桴枹𥰛罦琈涪粰䳕罘䱐芣蜉烰裒鉜䨗泭艀𡦄	縛謀
951	1016	謀	謀雺眸牟侔矛鍪麰䱕蝥堥鴾劺𦭷𨡭侔𩭾	莫浮
952	1031	裒	裒	蒲溝
953	1017	侯	侯猴糇翵喉篌帿䫛鍭鯸餱銗睺骺𧮶	胡溝
954	1018	謳	謳䙔鏂甌膒鷗蓲歐䁱剾	烏侯
955	1019	羺	羺䨲獳	奴溝
956	1020	樓	樓𡝤耬髏摟膢𤬏廔剅嘍瞜𦎹螻簍褸䝏䣚僂慺艛𨻻䱾鞻	落侯
957	1021	涑	涑撨嗾	速侯
958	1022	彄	彄摳剾韝𢂁𣻎䁱夠䋷	恪侯
959	1023	齁	齁	呼侯
960	1024	𣠏	𣠏緅	子侯
961	1025	偷	偷鍮媮緰	託侯
962	1026	頭	頭㓱投牏歈𪁞𪎨窬䤅緰	度侯
963	1027	齵	齵	五侯
964	1028	鉤	鉤𠛎溝褠韝緱篝𥴴𪓟㗕𤫱䑦冓句	古侯
965	1029	兜	兜侸吺篼𥆖剅𧯠	當侯
966	1030	𠟕	𠟕鯫	徂鉤
967	1034	幽	幽泑呦怮麀𧍘𢆶	於虯
968	1035	虬	虬觩璆觓	渠幽
969	1036	彪	彪髟驫	甫休
970	1038	樛	樛	居虯
971	1037	鏐	鏐蟉	力幽
972	1039	淲	淲	扶彪
973	1040	稵	稵	子絲
974	1041	犙	犙	山函
975	1042	聱	聱	語虯
976	1043a	飍	飍	香幽
977	1043b	休	休	許彪
978	1044	繆	繆	武彪
979	1032	䜅	䜅	千隹
980	1045	侵	侵駸䜷	七林
981	1046	尋	尋鐔潯鱏樳鄩𨼔撏𦅀鬵灊襑	徐林
982	1047	林	林琳淋瀶霖臨痳箖	力尋
983	1048	琛	琛棽䑣綝郴𥉎賝	丑林
984	1049	斟	斟針𪇅箴鱵㘰葴𣿎𪒯	職深
985	1050	沉	沉𤘣䒞𩂸	除深
986	1051	碪	碪	知林
987	1052	諶	諶忱煁瘎	氏林
988	1053	任	任鵀恁壬紝	如林
989	1054	深	深𦸂	式針
990	1055	淫	淫婬𥮍蟫鷣苂冗鱏鐔𨟏㸒	餘針
991	1056	心	心杺	息林
992	1057	愔	愔窨	於淫
993	1058	祲	祲梫兓埐𪖼𥍯攕𩀿𩻛	姊心
994	1059	𩷒	𩷒嶜梣埐𣜣䤁	昨淫
995	1060	䛘	䛘	女心
996	1061	琴	琴㩒黔禽芩檎凛𣪄鈙鵭紟擒㕋䅾耹黚庈靲𨙽	渠金
997	1062	欽	欽衾嶔菳	去音
998	1063	吟	吟崟菳𩂢𠪚	魚音
999	1064	歆	歆廞㽎	許金
1000	1065	金	金今黅衿襟𪑙	居音
